Structure URN,ID,Name EN,Name UK,Description EN,Description UK,ID_ORIG,Details,Included Items,Excluded Items,parent
SSSU:CL_NACE_R2_UA(3.2.1),17,Manufacture of paper and paper products,Виробництво паперу та паперових виробів,,,17,,"<em>Цей розділ включає</em> виробництво паперової маси (целюлози), паперу та паперових виробів. Виробництво зазначеної продукції згруповано в цьому розділі, оскільки воно є низкою операцій вертикальної інтеграції. Більше ніж одна з таких операцій зазвичай здійснюються в рамках однієї одиниці. <br></br> У цьому розділі розрізняють три основні види діяльності: <ul>
 виробництво паперової маси полягає в очищенні целюлозного волокна від домішок, які містить деревина, та/або в розчиненні та очищенні макулатури від чорнила, змішуванні в невеликій кількості реагентів для посилення сплетення волокон;  
 виробництво паперу полягає у виливанні паперової маси на дротову сітку, яка рухається, в результаті чого формується суцільний лист;  
 вироби з паперу можуть виготовлятися з паперу та інших матеріалів за різними технологіями.  
</ul> Друкування на паперових виробах (шпалерах, подарунковому папері тощо) також уключене до цього розділу за умови, що надрукована інформація не є основною метою діяльності. <br></br> Виробництво паперової маси (целюлози), паперу та картону у великих обсягах відносять до групи <a>17.1</a> , у той час як інші позиції включають опис подальшого процесу виробництва паперу та паперових виробів. <br></br>  <br></br>",,C
SSSU:CL_NACE_R2_UA(3.2.1),18,Printing and reproduction of recorded media,"Поліграфічна діяльність, тиражування записаної інформації",,,18,,"<em>Цей розділ включає</em> друкування такої продукції, як газети, книги, періодичні видання, бланки, вітальні листівки та інша друкована продукція, а також пов'язані з ним допоміжні види діяльності, такі як палітурна справа, виготовлення друкарських форм і оброблення зображень. Зазначені допоміжні види діяльності включено до цього розділу як інтегральну складову поліграфічної діяльності, а продукція (друкарська форма, переплетена книга, комп'ютерний диск або файл) зазвичай є результатом виконання такої діяльності. <br></br> Процеси, які використовують у поліграфії, включають безліч методів для перенесення інформації та зображення з пластини, екрана чи файла на відповідний носій з паперу, пластику, металу, текстилю, дерева. Більш поширеним із цих методів є метод передачі зображення з пластини або екрана шляхом літографії, глибокого, трафаретного друку або флексографії. Часто комп'ютерний файл для створення зображення передається прямо на друкуючий механізм, електростатичне устатковання або устатковання іншого типу (цифровий або безконтактний друк). <br></br> Поліграфічна та видавнича діяльність можуть бути виконані в межах одної одиниці (наприклад, видання та друкування газет), а в окремих випадках певна діяльність може також бути виконана за фактичним місцезнаходженням одиниці. <br></br>  <br></br>  <em>Цей розділ також включає</em> тиражування з носіїв інформації, таких як компакт-диски, відеозаписи, програмне забезпечення на дисках, касетах тощо. <br></br>  <br></br>","<i>Цей розділ не включає видавничу діяльність (див. розділ 58 секції J).

</i>",C
SSSU:CL_NACE_R2_UA(3.2.1),19,Manufacture of coke and refined petroleum products,Виробництво коксу та продуктів нафтоперероблення,,,19,,"<em>Цей розділ включає</em> перероблення сирої нафти та вугілля в придатні для використання продукти. Основним процесом перероблення нафти є очищення, яке включає сепарацію сирої нафти на компоненти шляхом таких методів, як крекінг і дистиляція. <br></br>  <br></br>  <em>Цей розділ також включає</em> виробництво за власний рахунок відповідних продуктів – коксу, бутану, пропану, бензину, гасу, мазуту тощо), а також надання послуги з перероблення (наприклад, рафінацію на замовлення). <br></br> До розділу включено також виробництво етану, пропану та бутану як продуктів очищення нафти. <br></br> Цей розділ включає одержання газу тільки нижчого ступеня чистоти (менше 95% щодо етану, етилену та бутану, менше 90% щодо пропану (пропілену), бутену (бутілену) та бутадієну). <br></br>  <br></br>","<i>Цей розділ не включає виробництво газів, зазначених у цьому розділі, вищого ступеня чистоти (20.14), виробництво промислових газів (20.11), добування природного газу (метану, етану, бутану або пропану) (06.20) та виробництво паливного газу, крім нафтового газу (наприклад, вугільного газу, водяного газу, генераторного газу і газу газових заводів) (35.21). Виробництво нафтохімікатів з очищеної нафти класифікують у розділі 20.

</i>",C
SSSU:CL_NACE_R2_UA(3.2.1),20,Manufacture of chemicals and chemical products,Виробництво хімічних речовин і хімічної продукції,,,20,,"<em>Цей розділ включає</em> перероблення органічної та неорганічної сировини з використанням хімічних процесів виробництва й утворення продукції. У розділі розрізняють виробництво основної хімічної продукції, яке складає групу <a>20.1</a> , та виробництво напівфабрикатів (проміжної продукції) та кінцевої продукції шляхом перероблення основної хімічної продукції, які належать до решти класів розділу. <br></br>  <br></br>",,C
SSSU:CL_NACE_R2_UA(3.2.1),21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,,,21,,<em>Цей розділ включає</em> виробництво основних фармацевтичних продуктів і фармацевтичних препаратів. <br></br>  <br></br>  <em>Цей розділ також включає</em> виробництво лікарської хімічної та рослинної продукції. <br></br>  <br></br>,,C
SSSU:CL_NACE_R2_UA(3.2.1),22,Manufacture of rubber and plastic products,Виробництво гумових і пластмасових виробів,,,22,,"<em>Цей розділ включає</em> виготовлення виробів із гуми та пластмас. <br></br> Для видів економічної діяльності, включених до цього розділу, є характерним використання у виробничих процесах сировинних матеріалів (гуми і пластмас). Однак це не означає, що виробництво усіх видів продукції з цих матеріалів класифікується у цьому розділі. <br></br>  <br></br>",,C
SSSU:CL_NACE_R2_UA(3.2.1),23,Manufacture of other non-metallic mineral products,Виробництво іншої неметалевої мінеральної продукції,,,23,,"<em>Цей розділ включає</em> перероблення матеріалів мінерального походження. До нього належить виробництво скла та виробів зі скла (наприклад, листового скла, порожнистого скла, скловолокна, технічних виробів зі скла тощо), керамічних виробів, кахлю, черепиці, виробів із випаленої глини й теракоти, цементу та гіпсових сумішей, від сировини до готових виробів. Оброблення оздоблювального каменю та іншої мінеральної продукції також включено до цього розділу. <br></br>  <br></br>",,C
SSSU:CL_NACE_R2_UA(3.2.1),24,Manufacture of basic metals,Металургійне виробництво,,,24,,"<em>Цей розділ включає</em> виплавку та/або рафінування чорних і кольорових металів із руди, ливарного чавуну або брухту з використанням електрометалургійних процесів та інших процесів металургійного виробництва. <br></br>  <br></br>  <em>Цей розділ також включає</em> виробництво сплавів і суперсплавів металів з доданням хімічних елементів до чистих металів. Одержану в результаті виплавки та рафінування продукцію, зазвичай у вигляді злитків (чушок, болванок), використовують в операціях прокатування, волочіння та штампування для виготовлення пластин, листів, штаби, прутків, стержнів, дроту, труб і порожнистих профілів, а також у розплавленому вигляді для виготовлення деталей і готових виробів із основних металів. <br></br>  <br></br>",,C
SSSU:CL_NACE_R2_UA(3.2.1),25,"Manufacture of fabricated metal products, except machinery and equipment","Виробництво готових металевих виробів, крім машин і устатковання",,,25,,"<em>Цей розділ включає</em> виготовлення виробів (таких як деталі, контейнери та конструкції) з ""чистого"" металу, які зазвичай мають стаціонарні, нерухомі характеристики на відміну від виробів, включених до розділів <a>26</a> – <a>30</a> , де охоплено виробництво комбінацій або з'єднань із цих виробів (іноді з іншими матеріалами) в більш складні вузли, що функціонують виключно в електричних, електронних або оптичних приладах із рухомими деталями. <br></br>  <br></br>  <em>Цей розділ також включає</em> виробництво зброї та боєприпасів <br></br>  <br></br>","<i>Цей розділ не включає:

 спеціалізований ремонт і технічне обслуговування готових металевих виробів, див. 33.1 
 монтаж виготовлених виробів, включених до цього розділу, які використовують для будівництва, таких як котли центрального опалення, див. 43.22 

</i>",C
SSSU:CL_NACE_R2_UA(3.2.1),26,"Manufacture of computer, electronic and optical products","Виробництво комп'ютерів, електронної та оптичної продукції",,,26,,"<em>Цей розділ включає</em> виробництво комп'ютерів і периферійного устатковання, обладнання зв'язку та інших видів електроніки, а також виробництво компонентів для цієї продукції. Для виробничих процесів, віднесених до цього розділу, є характерним розроблення та використання інтегрованих схем і пристосовань, що належать до досить вузькоспеціалізованих мініатюризованих технологій. <br></br>  <br></br>  <em>Цей розділ також включає</em> виробництво побутової електроніки, обладнання для вимірювання, дослідження та навігації, радіологічного, електромедичного й електротерапевтичного устатковання, оптичних приладів і устатковання, а також магнітних та оптичних носіїв даних. <br></br>  <br></br>",,C
SSSU:CL_NACE_R2_UA(3.2.1),27,Manufacture of electrical equipment,Виробництво електричного устатковання,,,27,,"<em>Цей розділ включає</em> виробництво продукції, яка генерує, розподіляє та споживає електричну енергію. <br></br>  <br></br>  <em>Цей розділ також включає</em> виробництво освітлювального, сигнального електроустатковання та побутових електроприладів. <br></br>  <br></br>","<i>Цей розділ не включає виробництво електронної продукції (див. розділ 26).

</i>",C
SSSU:CL_NACE_R2_UA(3.2.1),28,Manufacture of machinery and equipment n.e.c.,"Виробництво машин і устатковання, н.в.і.у.",,,28,,"<em>Цей розділ включає</em> виробництво машин і устатковання, які призначені для механічного або термічного оброблення матеріалів, або здійснення інших операцій (підіймально-транспортних, операцій з розмелювання, зважування, пакування тощо), у т.ч. виробництво їх механічних компонентів, які виробляють і застосовують силу, і будь-яких спеціально виготовлених основних частин. Цей розділ включає виробництво стаціонарних, мобільних або ручних пристроїв, незалежно від того, чи призначені вони для промислового, будівельного, сільськогосподарського або домашнього використання. Виробництво устатковання спеціального призначення для пасажирського або вантажного транспорту також віднесено до цього розділу. <br></br> В структурі розділу розрізняють виробництво машин і устатковання спеціального призначення, тобто устатковання, що його використовують виключно у промисловості, а також машин і устатковання загального призначення, тобто устатковання, що їх використовують для широкого діапазону галузей. <br></br>  <br></br>  <em>Цей розділ також включає</em> виробництво інших машин і устатковання спеціального призначення, які не класифіковані в інших розділах КВЕД, що їх використовують або не використовують у виробничих процесах, таких як обладнання для ярмарків і атракціонів розважального призначення, автоматичне устатковання для кегельбану тощо. <br></br>  <br></br>","<i>Цей розділ не включає виробництво готових металевих виробів загального призначення (розділ 25), пристроїв керування, комп'ютерного устатковання, обладнання для вимірювання та дослідження, апаратів для розподілення та контролю за витратами електроенергії (розділи 26 і 27) і транспортних засобів загального призначення (розділи 29 і 30).

</i>",C
SSSU:CL_NACE_R2_UA(3.2.1),29,"Manufacture of motor vehicles, trailers and semi-trailers","Виробництво автотранспортних засобів, причепів і напівпричепів",,,29,,"<em>Цей розділ включає</em> виробництво автотранспортних засобів для перевезення пасажирів або вантажів. <br></br>  <br></br>  <em>Цей розділ також включає</em> виробництво різних частин і приладдя, а також виробництво причепів і напівпричепів. <br></br> Технічне обслуговування і ремонт автотранспортних засобів, вироблених у цьому розділі, класифікують у класі <a>45.20</a> . <br></br>  <br></br>",,C
SSSU:CL_NACE_R2_UA(3.2.1),30,Manufacture of other transport equipment,Виробництво інших транспортних засобів,,,30,,"<em>Цей розділ включає</em> будування транспортних засобів, а саме: суден і човнів, поїздів і локомотивів, літаків і космічних суден, а також частин для цих транспортних засобів. <br></br>  <br></br>",,C
SSSU:CL_NACE_R2_UA(3.2.1),31,Manufacture of furniture,Виробництво меблів,,,31,,"<em>Цей розділ включає</em> виробництво меблів і подібних виробів із будь-яких матеріалів, крім каменю, бетону та кераміки. Процеси, які використовують у виробництві меблів, являють собою стандартні методи підбору матеріалів і складання частин, у т.ч. різання, пресування та ламінацію. Проектування меблів враховує як естетичні, так і функціональні характеристики, що є важливим аспектом процесу виробництва меблів. <br></br> Деякі з процесів, що їх використовують у виробництві меблів, подібні до процесів, які використовують в інших сегментах виробництва. Наприклад, процеси різання та складання, які мають місце у виробництві виробів з деревини, класифікують у розділі <a>16</a> ""Оброблення деревини та виготовлення виробів з деревини та корку, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння"". Однак множинний процес виробництва дерев'яних меблів відрізняють від виробництва дерев'яних виробів. Подібно до цього, під час виготовлення металевих меблів використовують ті ж технології, що й у виробництві гнутих виробів, класифікованих у розділі <a>25</a> ""Виробництво готових металевих виробів"". Процес виготовлення пластмасових меблів схожий на процеси, які супроводжують виготовлення виробів з пластмас. Однак виробництво пластмасових меблів відносять до специфічної діяльності. <br></br>  <br></br>",,C
SSSU:CL_NACE_R2_UA(3.2.1),32,Other manufacturing,Виробництво іншої продукції,,,32,,"<em>Цей розділ включає</em> виробництво різних товарів, не включених до інших угруповань КВЕД. Це залишковий розділ, де процеси виробництва, вихідні матеріали та використані готові вироби можуть широко варіювати, а звичайні критерії для групування класів тут не застосовують. <br></br>  <br></br>",,C
SSSU:CL_NACE_R2_UA(3.2.1),33,Repair and installation of machinery and equipment,Ремонт і монтаж машин і устатковання,,,33,,"<em>Цей розділ включає</em> спеціалізований ремонт виробів, які були виготовлені у промисловому секторі, з метою приведення машин, устатковання та інших виробів у робочий стан. Забезпечення загального і планового (тобто поточного) технічного обслуговування цих виробів є необхідним для підвищення продуктивності устатковання, а також запобігає передчасному ремонту устатковання. <br></br> Цей розділ включає тільки спеціалізований ремонт і технічне обслуговування машин і устатковання. У значній мірі ремонт також виконують виробники машин, устатковання та інших виробів, і у цьому разі діяльність таких одиниць класифікують, виходячи з принципу доданої вартості, внаслідок чого змішану діяльність зазвичай відносять до виробництва. За тими ж принципами класифікують комбіновану діяльність одиниць у сфері торгівлі й ремонту. <br></br> Капітальний ремонт і модернізацію машин та устатковання віднесено до виробничої діяльності та включено до інших розділів цієї секції. <br></br> Ремонт і технічне обслуговування товарів, що їх використовують як засоби виробництва, а також споживчі товари класифікують як ремонт і технічне обслуговування побутових виробів і предметів особистого вжитку (наприклад, ремонт офісних меблів і меблів для дому, див. <a>95.24</a> ). <br></br>  <br></br>  <em>Цей розділ також включає</em> спеціалізований монтаж і установлення машин та устатковання. Однак монтаж і установлення устатковання, що є складовою будівель або споруд, такого як електрична проводка, ескалатори або системи кондиціонування повітря, класифікують у секції <a>F</a> „Будівництво”. <br></br>  <br></br>","<i>Цей розділ не включає:

 чищення промислового устатковання, див. 81.22 
 ремонт і технічне обслуговування комп'ютерів та обладнання зв'язку, див. 95.1 
 ремонт і технічне обслуговування побутових виробів і предметів особистого вжитку, див. 95.2 

</i>",C
SSSU:CL_NACE_R2_UA(3.2.1),35,"Electricity, gas, steam and air conditioning supply","Постачання електроенергії, газу, пари та кондиційованого повітря",,,35,,,,D
SSSU:CL_NACE_R2_UA(3.2.1),36,"Water collection, treatment and supply","Забір, очищення та постачання води",,,36,,"<em>Цей розділ включає</em> забір, очищення та розподілення води для побутових і виробничих потреб. Забір води з різних джерел, а також її розподілення у будь-який спосіб також включені до цього розділу. <br></br>  <br></br>",,E
SSSU:CL_NACE_R2_UA(3.2.1),37,Sewerage,"Каналізація, відведення й очищення стічних вод",,,37,,"<em>Цей розділ включає</em> діяльність каналізаційних систем та установок для очищення стічних вод, де відбувається збирання, очищення, оброблення та розподілення стічних вод. <br></br>  <br></br>",,E
SSSU:CL_NACE_R2_UA(3.2.1),38,"Waste collection, treatment and disposal activities; materials recovery","Збирання, оброблення й видалення відходів; відновлення матеріалів",,,38,,"<em>Цей розділ включає</em> збирання, оброблення та видалення відходів. Це також включає місцеві перевезення відходів та експлуатацію засобів утилізації відходів (тобто одержування з відходів відсортованих відновлюваних матеріалів). <br></br>  <br></br>",,E
SSSU:CL_NACE_R2_UA(3.2.1),39,Remediation activities and other waste management services,Інша діяльність щодо поводження з відходами,,,39,,"<em>Цей розділ включає</em> надання послуг з відновлення, тобто очищення забруднених приміщень і ділянок, ґрунтів, поверхневих і ґрунтових вод <br></br>  <br></br>",,E
SSSU:CL_NACE_R2_UA(3.2.1),41,Construction of buildings,Будівництво будівель,,,41,,"<em>Цей розділ включає</em> загальні та спеціалізовані роботи з будівництва усіх видів будівель. Ця діяльність включає нове будівництво, ремонтні роботи, розширення та реконструкцію, зведення будівель зі збірних конструкцій на місці ведення робіт (не залежно від того, чи є ці конструкції власного виготовлення), а також будівництво тимчасових об'єктів. <br></br> До цього розділу включають будівництво цілісних житлових комплексів, офісних будівель, магазинів та інших громадських і комунальних або сільськогосподарських будівель тощо. <br></br>  <br></br>",,F
SSSU:CL_NACE_R2_UA(3.2.1),42,Civil engineering,Будівництво споруд,,,42,,"<em>Цей розділ включає</em> загальне будівництво інженерних споруд. Ця діяльність включає нове будівництво, ремонтні роботи, розширення та реконструкцію, зведення споруд зі збірних конструкцій на місці ведення робіт (не залежно від того, чи є ці конструкції власного виготовлення), а також будівництво тимчасових споруд. <br></br> Сюди відносять будівництво важких конструкцій, таких як автостради, вулиці, дороги, мости, тунелі, залізниці, аеродроми, порти та інші водні споруди, іригаційні системи, промислові споруди, трубопроводи та лінії електропередач, відкриті спортивні комплекси тощо. Ці роботи здійснюють як за власний рахунок, так і за винагороду або на основі контракту. Частина робіт, а іноді всі види робіт можуть передаватися субпідряднику на умовах аутсорсингу. <br></br>  <br></br>",,F
SSSU:CL_NACE_R2_UA(3.2.1),43,Specialised construction activities,Спеціалізовані будівельні роботи,,,43,,"<em>Цей розділ включає</em> спеціалізовані будівельні роботи (спеціалізованих професій), наприклад, будівництво частин будівель та інженерних споруд, або роботи з підготовки до будівництва. Зазвичай подібні види робіт засновані на одному аспекті, що поєднує різні споруди, які вимагають спеціальних навичок або устатковання для їх виконання а саме: укладання паль, будівельні роботи нульового циклу, монтаж внутрішніх комунікацій, бетонні роботи, укладання цегли, зведення риштовань, покрівельні роботи тощо. Також до цього розділу відносять зведення сталевих конструкцій за умови, що елементи цих конструкцій випускає інша організація. Спеціалізовані будівельні роботи в основному виконуються на основі субпідряду, а особливо при здійсненні ремонтних робіт виконуються безпосередньо для власника майна. <br></br> Також сюди відносять роботи із завершення будівництва. <br></br>  <br></br>  <em>Цей розділ також включає</em> установлення усіх видів комунікацій, завдяки яким будівля або споруда стає функціональною. Подібні роботи зазвичай виконуються на будівельних майданчиках, хоча деяка частина робіт може виконуватись у спеціалізованих майстернях. Сюди відносять слюсарні роботи, роботи з установлення систем опалювання і кондиціонування, антен, систем сигналізації та інші електромонтажні роботи, роботи з установлення систем пожежної сигналізації, ліфтів, ескалаторів тощо. Також до цього розділу відносять роботи з водо-, тепло- та звукоізоляції, обшивання листовим металом, установлення торговельних холодильних установок, установлення освітлення та сигнальних систем для автомобільних доріг і залізниць, аеропортів, портів тощо. А також сюди відносять ремонтні роботи до всіх типів вищевказаних робіт. <br></br> Роботи із завершення будівництва включають такі роботи, як скління, штукатурні, малярні роботи, покриття підлоги та стін плиткою або такими оздоблювальними матеріалами, як паркет, ковролін, шпалери тощо, а також циклювання підлоги, оздоблювальні теслярські роботи, роботи зі звукоізоляції, очищення зовнішньої території тощо. Також сюди відносять ремонтні роботи до всіх типів вищевказаних робіт. <br></br> Оренду будівельного устатковання з оператором класифікують за видами будівельних робіт. <br></br>  <br></br>",,F
SSSU:CL_NACE_R2_UA(3.2.1),45,Wholesale and retail trade and repair of motor vehicles and motorcycles,"Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт",,,45,,"<em>Цей розділ включає</em> всі види діяльності (крім виробництва та надання в оренду), пов'язані з автомобілями й мотоциклами, у т.ч. вантажними автомобілями та колісними тягачами, такі як оптова та роздрібна торгівля новими й уживаними транспортними засобами, ремонт і технічне обслуговування транспортних засобів, а також оптова та роздрібна торгівля деталями та приладдям для автомобілів і мотоциклів. Також до розділу відносять діяльність посередників, які беруть участь в оптовій або роздрібній торгівлі транспортними засобами. <br></br>  <br></br>  <em>Цей розділ також включає</em> діяльність з миття, полірування автомобілів тощо. <br></br>  <br></br>","<i>Цей розділ не включає роздрібну торгівлю моторним паливом, мастильними матеріалами та охолоджуючими рідинами, надання в оренду автомобілів або мотоциклів.

</i>",G
SSSU:CL_NACE_R2_UA(3.2.1),46,"Wholesale trade, except of motor vehicles and motorcycles","Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами",,,46,,"<em>Цей розділ включає</em> оптову торгівлю за власний рахунок або на основі контракту (комісійна торгівля) як на внутрішньому оптовому ринку, так і на зовнішньому ринку (імпорт/експорт). <br></br>  <br></br>","<i>Цей розділ не включає:

 оптову торгівлю автомобілями, житловими автофургонами та мотоциклами, див. 45.1, 45.4 
 оптову торгівлю деталями та приладдям для автотранспортних засобів, див. 45.31, 45.40 
 надання в оренду та прокат товарів, див. розділ 77 
 фасування твердих товарів і розлив у ємності рідких або газоподібних товарів, у т.ч. їх змішування та очищення (фільтрування) для інших осіб, див. 82.92 

</i>",G
SSSU:CL_NACE_R2_UA(3.2.1),47,"Retail trade, except of motor vehicles and motorcycles","Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами",,,47,,"<em>Цей розділ включає</em> перепродаж (продаж без перероблення) нових або уживаних товарів для особистого споживання або домашнього користування переважно населенню, який здійснюють магазини, торгові центри, кіоски, намети, компанії поштового замовлення (у т.ч. у мережі Інтернет), рознощики і вуличні торговці, споживчі кооперативи тощо. <br></br> Роздрібну торгівлю класифікують насамперед за типом місця торгівлі (роздрібну торгівлю в магазинах – у групах <a>47.1</a> – <a>47.7</a> ; роздрібну торгівлю поза магазинами – у групах <a>47.8</a> – <a>47.9</a> ). Роздрібна торгівля в магазинах включає роздрібну торгівлю уживаними товарами (клас <a>47.79</a> ). Роздрібна торгівля в магазинах у подальшому розподіляється на спеціалізовану (групи <a>47.2</a> – <a>47.7</a> ) та неспеціалізовану роздрібну торгівлю (група <a>47.1</a> ). Спеціалізовану роздрібну торгівлю новими товарами класифікують за асортиментом товару, який підлягає продажу. Торгівля поза магазинами деталізована за формами торгівлі, такими як роздрібна торгівля з лотків і на ринках (група <a>47.8</a> ) та інші форми роздрібної торгівлі, що їх здійснюють поза магазинами, зокрема, за поштовим замовленням або через мережу Інтернет, шляхом доставки “від порога до порога”, за допомогою торгових автоматів тощо (група <a>47.9</a> ). <br></br> Товари, які описані у цьому розділі, обмежуються товарами, зазвичай іменованими як споживчі товари або товари роздрібної торгівлі. Отже, товари, що зазвичай не класифікують як товари роздрібної торгівлі (зерно, руди, промислове устатковання тощо), не включені до цього розділу. <br></br>  <br></br>  <em>Цей розділ також включає</em> торгівлю персональними комп'ютерами, канцелярськими товарами, фарбою або деревиною, незважаючи на те, що ці товари призначені не тільки для особистого споживання домашніми господарствами. Допоміжні операції в торгівлі не впливають на зміну товару і можуть включати, зокрема, сортування, розподілення, змішування та фасування. <br></br> Цей розділ також включає роздрібну торгівлю, яку здійснюють комісіонери, роздрібні аукціонні будинки, представники, задіяні у мережевому маркетингу. <br></br> До цього розділу не відносять: <ul>
 продаж фермерами власно вирощеної сільгосппродукції, див. розділ 01 
 продаж товарів власного виробництва, які класифікують у рамках виробничого процесу в розділах 10 - 32 
 продаж автотранспортних засобів, мотоциклів і деталей до них, див. розділ 45 
 торгівлю зерном, рудами, сирою нафтою, промисловими хімікатами, залізом і сталлю, а також промисловими машинами й устаткованням, див. розділ 46 
 продаж готової їжі та напоїв для споживання в приміщеннях або ""на винос"", див. розділ 56 
 надання в оренду товарів особистого вжитку переважно населенню, див. група 77.2 
</ul>",,G
